overlap_45/3H3MCR3_TK/3H3MCR3_TK.log:2021-04-03 00:48:50,097 - INFO - All done! Scheme created with 8 regions, 2 gaps, 89.6% coverage
overlap_45/3H3MCR4_TK/3H3MCR4_TK.log:2021-04-03 00:48:55,054 - INFO - All done! Scheme created with 6 regions, 2 gaps, 62.05% coverage
overlap_45/3H3MCR5_TK/3H3MCR5_TK.log:2021-04-03 00:49:00,084 - INFO - All done! Scheme created with 6 regions, 1 gap, 79.07% coverage
overlap_45/3H3MCS1_TK/3H3MCS1_TK.log:2021-04-03 00:49:07,702 - INFO - All done! Scheme created with 9 regions, 2 gaps, 78.73% coverage
overlap_45/4C5DP2CMDEK1_TK/4C5DP2CMDEK1_TK.log:2021-04-03 00:49:18,640 - INFO - All done! Scheme created with 13 regions, 4 gaps, 86.11% coverage
overlap_45/4H3M2EDPR1_TK/4H3M2EDPR1_TK.log:2021-04-03 00:49:28,030 - INFO - All done! Scheme created with 11 regions, 4 gaps, 73.82% coverage
overlap_45/4H3M2EDPR2_TK/4H3M2EDPR2_TK.log:2021-04-03 00:49:32,035 - INFO - All done! Scheme created with 4 regions, 1 gap, 57.8% coverage
overlap_45/4H3M2EDPR3_TK/4H3M2EDPR3_TK.log:2021-04-03 00:49:41,346 - INFO - All done! Scheme created with 11 regions, 4 gaps, 72.94% coverage
overlap_45/A20AN1_TK/A20AN1_TK.log:2021-04-03 00:49:43,484 - INFO - All done! Scheme created with 2 regions, 0 gaps, 42.31% coverage
overlap_45/ACC1_TK/ACC1_TK.log:2021-04-03 00:49:50,075 - INFO - All done! Scheme created with 8 regions, 3 gaps, 63.16% coverage
overlap_45/ACC2_TK/ACC2_TK.log:2021-04-03 00:49:59,429 - INFO - All done! Scheme created with 11 regions, 5 gaps, 80.07% coverage
overlap_45/ACC3_TK/ACC3_TK.log:2021-04-03 00:50:15,556 - INFO - All done! Scheme created with 19 regions, 6 gaps, 88.41% coverage
overlap_45/ACT1_TK/ACT1_TK.log:2021-04-03 00:50:20,675 - INFO - All done! Scheme created with 6 regions, 2 gaps, 70.55% coverage
overlap_45/ADPATC2_TK/ADPATC2_TK.log:2021-04-03 00:50:25,789 - INFO - All done! Scheme created with 6 regions, 1 gap, 66.93% coverage
overlap_45/ALS_TK/ALS_TK.log:2021-04-03 00:51:16,194 - INFO - All done! Scheme created with 58 regions, 22 gaps, 88.83% coverage
overlap_45/ARFA1F2_TK/ARFA1F2_TK.log:2021-04-03 00:51:21,459 - INFO - All done! Scheme created with 5 regions, 2 gaps, 71.01% coverage
overlap_45/C72_TK/C72_TK.log:2021-04-03 00:51:23,419 - INFO - All done! Scheme created with 2 regions, 0 gaps, 49.05% coverage
overlap_45/CASP1_TK/CASP1_TK.log:2021-04-03 00:51:27,704 - INFO - All done! Scheme created with 5 regions, 0 gaps, 72.68% coverage
overlap_45/CCT1_TK/CCT1_TK.log:2021-04-03 00:51:31,312 - INFO - All done! Scheme created with 4 regions, 1 gap, 68.13% coverage
overlap_45/CDPK13_TK/CDPK13_TK.log:2021-04-03 00:51:39,661 - INFO - All done! Scheme created with 10 regions, 1 gap, 83.5% coverage
overlap_45/CO_TK/CO_TK.log:2021-04-03 00:52:04,990 - INFO - All done! Scheme created with 7 regions, 3 gaps, 79.31% coverage
overlap_45/CPIP_TK/CPIP_TK.log:2021-04-03 00:52:10,294 - INFO - All done! Scheme created with 6 regions, 2 gaps, 63.22% coverage
overlap_45/CPT1_1_TK/CPT1_1_TK.log:2021-04-03 00:52:13,867 - INFO - All done! Scheme created with 4 regions, 1 gap, 57.98% coverage
overlap_45/CPT2_TK/CPT2_TK.log:2021-04-03 00:52:17,304 - INFO - All done! Scheme created with 4 regions, 1 gap, 65.71% coverage
overlap_45/CPT3_TK/CPT3_TK.log:2021-04-03 00:52:20,931 - INFO - All done! Scheme created with 4 regions, 1 gap, 54.28% coverage
overlap_45/CYP716A263_TK/CYP716A263_TK.log:2021-04-03 00:52:29,290 - INFO - All done! Scheme created with 10 regions, 4 gaps, 79.4% coverage
overlap_45/CYP716D60_TK/CYP716D60_TK.log:2021-04-03 00:52:43,335 - INFO - All done! Scheme created with 13 regions, 4 gaps, 84.99% coverage
overlap_45/DHDDS_TK/DHDDS_TK.log:2021-04-03 00:52:46,943 - INFO - All done! Scheme created with 4 regions, 1 gap, 69.65% coverage
overlap_45/DOG_1_TK/DOG_1_TK.log:2021-04-03 00:53:00,336 - INFO - All done! Scheme created with 6 regions, 2 gaps, 81.91% coverage
overlap_45/DREB_TK/DREB_TK.log:2021-04-03 00:53:04,481 - INFO - All done! Scheme created with 5 regions, 2 gaps, 76.74% coverage
overlap_45/DnaJP2_TK/DnaJP2_TK.log:2021-04-03 00:52:55,227 - INFO - All done! Scheme created with 10 regions, 3 gaps, 83.09% coverage
overlap_45/EG_TK/EG_TK.log:2021-04-03 00:53:30,046 - INFO - All done! Scheme created with 15 regions, 3 gaps, 85.86% coverage
overlap_45/EH_TK/EH_TK.log:2021-04-03 00:53:34,454 - INFO - All done! Scheme created with 5 regions, 1 gap, 68.84% coverage
overlap_45/ERF_TK/ERF_TK.log:2021-04-03 00:53:38,006 - INFO - All done! Scheme created with 4 regions, 1 gap, 70.1% coverage
overlap_45/ETR1_TK/ETR1_TK.log:2021-04-03 00:53:49,162 - INFO - All done! Scheme created with 14 regions, 6 gaps, 73.52% coverage
overlap_45/FDPS1_TK/FDPS1_TK.log:2021-04-03 00:53:59,314 - INFO - All done! Scheme created with 12 regions, 3 gaps, 86.08% coverage
overlap_45/FDPS2_TK/FDPS2_TK.log:2021-04-03 00:54:08,418 - INFO - All done! Scheme created with 11 regions, 4 gaps, 81.9% coverage
overlap_45/FTC_TK/FTC_TK.log:2021-04-03 00:54:44,426 - INFO - All done! Scheme created with 37 regions, 11 gaps, 88.76% coverage
overlap_45/FT_TK/FT_TK.log:2021-04-03 00:54:57,399 - INFO - All done! Scheme created with 15 regions, 5 gaps, 84.89% coverage
overlap_45/GDPS1_TK/GDPS1_TK.log:2021-04-03 00:55:09,237 - INFO - All done! Scheme created with 14 regions, 3 gaps, 88.17% coverage
overlap_45/GGDPS1_TK/GGDPS1_TK.log:2021-04-03 00:55:14,390 - INFO - All done! Scheme created with 6 regions, 2 gaps, 81.14% coverage
overlap_45/GGDPS2_TK/GGDPS2_TK.log:2021-04-03 00:55:19,516 - INFO - All done! Scheme created with 6 regions, 1 gap, 71.37% coverage
overlap_45/HSCP70-1_TK/HSCP70-1_TK.log:2021-04-03 00:55:25,986 - INFO - All done! Scheme created with 8 regions, 2 gaps, 74.2% coverage
overlap_45/IPDPI2_TK/IPDPI2_TK.log:2021-04-03 00:55:32,663 - INFO - All done! Scheme created with 8 regions, 1 gap, 78.77% coverage
overlap_45/IPPK_TK/IPPK_TK.log:2021-04-03 00:55:36,207 - INFO - All done! Scheme created with 4 regions, 0 gaps, 68.6% coverage
overlap_45/MDPD_TK/MDPD_TK.log:2021-04-03 00:55:43,650 - INFO - All done! Scheme created with 9 regions, 2 gaps, 78.77% coverage
overlap_45/MK1_TK/MK1_TK.log:2021-04-03 00:55:53,702 - INFO - All done! Scheme created with 12 regions, 4 gaps, 83.37% coverage
overlap_45/MLL_TK/MLL_TK.log:2021-04-03 00:55:56,675 - INFO - All done! Scheme created with 3 regions, 1 gap, 66.92% coverage
overlap_45/MLP28_TK/MLP28_TK.log:2021-04-03 00:55:59,505 - INFO - All done! Scheme created with 3 regions, 0 gaps, 73.47% coverage
overlap_45/OC1_TK/OC1_TK.log:2021-04-03 00:56:40,021 - INFO - All done! Scheme created with 37 regions, 13 gaps, 86.77% coverage
overlap_45/OC2_TK/OC2_TK.log:2021-04-03 00:57:08,402 - INFO - All done! Scheme created with 32 regions, 10 gaps, 83.22% coverage
overlap_45/OC3_TK/OC3_TK.log:2021-04-03 00:57:25,043 - INFO - All done! Scheme created with 19 regions, 5 gaps, 86.78% coverage
